Chapter #,Chapter Name,BlockL1_Id,BlockL1,BlockL2_Id,BlockL2,code,Category,synonymous,synonymous DSM - 5,Defination,ClassKind,DepthInKind
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A0,- - Bacterial intestinal infections,1A00,- - - Cholera,Cholera,,,category,1
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A0,- - Bacterial intestinal infections,1A02,- - - Intestinal infections due to Shigella,Shigellosis,,"A disease caused by an infection with the gram-negative bacteria Shigella. This disease is characterised by an acute onset of small volume diarrhoea, accompanied by fever and nausea. This disease may also present with toxaemia, vomiting, cramps, and tenesmus. Transmission is by ingestion of contaminated food, or direct contact. Confirmation is by identification of Shigella in a faecal sample.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A0,- - Bacterial intestinal infections,1A03,- - - Intestinal infections due to Escherichia coli,,,"Any condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A0,- - Bacterial intestinal infections,1A07,- - - Typhoid fever,Typhoid fever,,"A condition caused by an infection with the gram-negative bacteria Salmonella typhi. This condition is characterised by an acute sustained fever. This condition may present with weakness, stomach pains, headache, loss of appetite, or flat, rose-coloured spots. Transmission is by the faecal-oral route from the ingestion of contaminated food or water. Confirmation is by identification of Salmonella typhi in a faecal or blood sample.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A0,- - Bacterial intestinal infections,1A08,- - - Paratyphoid fever,Paratyphoid fever,,"A condition caused by an infection with the gram-negative bacteria Salmonella paratyphi. This condition is characterised by an acute sustained fever. The individual may feel weak, have stomach pains, headache, loss of appetite, or a rash of flat, rose-coloured spots. Transmission is by ingestion of contaminated food or water. Confirmation is by identification of Salmonella paratyphi in a faecal or blood sample.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A0,- - Bacterial intestinal infections,1A09,- - - Infections due to other Salmonella,,,Infection or foodborne intoxication due to any Salmonella species other than S. typhi and S. paratyphi,category,1
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A0,- - Bacterial intestinal infections,1A0Y,- - - Other specified bacterial intestinal infections,,,,category,1
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A0,- - Bacterial intestinal infections,1A0Z,"- - - Bacterial intestinal infections, unspecified",,,,category,1
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A1,- - Bacterial foodborne intoxications,1A11,- - - Botulism,Botulism,,"A disease caused by an infection with the gram-positive bacteria Clostridium botulinum. This disease commonly presents with abdominal pain, vomiting, acute paralysis, blurred vision, diplopia, and may be fatal. Transmission is by ingestion of contaminated food, direct contact, or from accidental overdose. Confirmation is by identification of Clostridium botulinum in a faecal or food sample.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A1,- - Bacterial foodborne intoxications,1A1Z,"- - - Bacterial foodborne intoxications, unspecified",,,,category,1
